,,Fall 1992,Fall 1992,Fall 1993,Fall 1993,Fall 1994,Fall 1994,Fall 1995,Fall 1995,Fall 1996,Fall 1996,Fall 1997,Fall 1997,Fall 1998,Fall 1998,Fall 1999,Fall 1999,Fall 2000,Fall 2000,Fall 2001,Fall 2001,Fall 2002,Fall 2002,Fall 2003,Fall 2003,Fall 2004,Fall 2004,Fall 2005,Fall 2005,Fall 2006,Fall 2006,Fall 2007,Fall 2007,Fall 2008,Fall 2008,Fall 2009,Fall 2009,Fall 2010,Fall 2010,Fall 2011,Fall 2011,Fall 2012,Fall 2012,Fall 2013,Fall 2013,Fall 2014,Fall 2014,Fall 2015,Fall 2015,Fall 2016,Fall 2016,Fall 2017,Fall 2017,Fall 2018,Fall 2018,Fall 2019,Fall 2019,Fall 2020,Fall 2020,Fall 2021,Fall 2021,Fall 2022,Fall 2022,Fall 2023,Fall 2023,Fall 2024,Fall 2024,Fall 2025,Fall 2025,Spring 1993,Spring 1993,Spring 1994,Spring 1994,Spring 1995,Spring 1995,Spring 1996,Spring 1996,Spring 1997,Spring 1997,Spring 1998,Spring 1998,Spring 1999,Spring 1999,Spring 2000,Spring 2000,Spring 2001,Spring 2001,Spring 2002,Spring 2002,Spring 2003,Spring 2003,Spring 2004,Spring 2004,Spring 2005,Spring 2005,Spring 2006,Spring 2006,Spring 2007,Spring 2007,Spring 2008,Spring 2008,Spring 2009,Spring 2009,Spring 2010,Spring 2010,Spring 2011,Spring 2011,Spring 2012,Spring 2012,Spring 2013,Spring 2013,Spring 2014,Spring 2014,Spring 2015,Spring 2015,Spring 2016,Spring 2016,Spring 2017,Spring 2017,Spring 2018,Spring 2018,Spring 2019,Spring 2019,Spring 2020,Spring 2020,Spring 2021,Spring 2021,Spring 2022,Spring 2022,Spring 2023,Spring 2023,Spring 2024,Spring 2024,Spring 2025,Spring 2025,Summer 1992,Summer 1992,Summer 1993,Summer 1993,Summer 1994,Summer 1994,Summer 1995,Summer 1995,Summer 1996,Summer 1996,Summer 1997,Summer 1997,Summer 1998,Summer 1998,Summer 1999,Summer 1999,Summer 2000,Summer 2000,Summer 2001,Summer 2001,Summer 2002,Summer 2002,Summer 2003,Summer 2003,Summer 2004,Summer 2004,Summer 2005,Summer 2005,Summer 2006,Summer 2006,Summer 2007,Summer 2007,Summer 2008,Summer 2008,Summer 2009,Summer 2009,Summer 2010,Summer 2010,Summer 2011,Summer 2011,Summer 2012,Summer 2012,Summer 2013,Summer 2013,Summer 2014,Summer 2014,Summer 2015,Summer 2015,Summer 2016,Summer 2016,Summer 2017,Summer 2017,Summer 2018,Summer 2018,Summer 2019,Summer 2019,Summer 2020,Summer 2020,Summer 2021,Summer 2021,Summer 2022,Summer 2022,Summer 2023,Summer 2023,Summer 2024,Summer 2024,Summer 2025,Summer 2025
,,Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%),Credit Grade Count,Credit Grade Count (%)
Ohlone Total,,"25,735",100.00%,"23,393",100.00%,"23,526",100.00%,"23,079",100.00%,"23,904",100.00%,"24,733",100.00%,"26,092",100.00%,"25,457",100.00%,"23,215",100.00%,"26,368",100.00%,"25,800",100.00%,"26,808",100.00%,"24,108",100.00%,"24,232",100.00%,"25,445",100.00%,"25,700",100.00%,"28,790",100.00%,"29,762",100.00%,"28,581",100.00%,"27,553",100.00%,"26,484",100.00%,"25,866",100.00%,"26,603",100.00%,"26,475",100.00%,"26,562",100.00%,"25,810",100.00%,"24,922",100.00%,"24,742",100.00%,"24,566",100.00%,"22,104",100.00%,"20,906",100.00%,"23,022",100.00%,"23,556",100.00%,"24,075",100.00%,"22,568",100.00%,"22,761",100.00%,"22,400",100.00%,"23,325",100.00%,"23,073",100.00%,"24,091",100.00%,"28,145",100.00%,"24,752",100.00%,"24,078",100.00%,"27,133",100.00%,"25,448",100.00%,"25,782",100.00%,"26,492",100.00%,"24,496",100.00%,"26,449",100.00%,"25,354",100.00%,"28,269",100.00%,"28,696",100.00%,"29,139",100.00%,"29,151",100.00%,"27,236",100.00%,"26,590",100.00%,"25,160",100.00%,"26,085",100.00%,"24,820",100.00%,"22,202",100.00%,"21,390",100.00%,"26,050",100.00%,"24,521",100.00%,"19,914",100.00%,"18,313",100.00%,"18,039",100.00%,"21,399",100.00%,"4,988",100.00%,"4,750",100.00%,"4,568",100.00%,"4,456",100.00%,"4,990",100.00%,"5,572",100.00%,"6,373",100.00%,"6,013",100.00%,"5,443",100.00%,"7,478",100.00%,"8,474",100.00%,"7,905",100.00%,"7,236",100.00%,"6,916",100.00%,"6,868",100.00%,"7,887",100.00%,"7,799",100.00%,"7,019",100.00%,"5,996",100.00%,"3,993",100.00%,"6,230",100.00%,"5,943",100.00%,"5,884",100.00%,"7,429",100.00%,"9,999",100.00%,"9,706",100.00%,"10,683",100.00%,"7,731",100.00%,"12,293",100.00%,"11,093",100.00%,"9,392",100.00%,"9,769",100.00%,"5,500",100.00%,"5,393",100.00%
,Excused Withdrawal,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,32,0.13%,60,0.27%,53,0.25%,90,0.39%,116,0.49%,325,1.35%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,"3,975",15.26%,12,0.05%,16,0.08%,21,0.11%,113,0.63%,179,0.84%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,"1,980",16.11%,5,0.05%,4,0.04%,16,0.16%,46,0.84%,,0.00%
,Grade A,"6,339",24.63%,"5,914",25.28%,"6,027",25.62%,"6,260",27.12%,"6,860",28.70%,"7,308",29.55%,"7,762",29.75%,"6,738",26.47%,"6,813",29.35%,"8,490",32.20%,"7,648",29.64%,"8,441",31.49%,"7,573",31.41%,"7,099",29.30%,"7,071",27.79%,"7,014",27.29%,"8,303",28.84%,"9,259",31.11%,"8,416",29.45%,"8,759",31.79%,"7,912",29.87%,"7,693",29.74%,"7,453",28.02%,"8,208",31.00%,"9,291",34.98%,"9,346",36.21%,"9,730",39.04%,"9,740",39.37%,"11,381",46.33%,"10,021",45.34%,"9,479",45.34%,"10,604",46.06%,"11,445",48.59%,"12,422",51.60%,"5,729",25.39%,"5,913",25.98%,"5,929",26.47%,"6,634",28.44%,"7,031",30.47%,"7,384",30.65%,"8,353",29.68%,"7,106",28.71%,"7,619",31.64%,"8,393",30.93%,"9,096",35.74%,"8,515",33.03%,"7,919",29.89%,"7,551",30.83%,"7,635",28.87%,"7,384",29.12%,"8,272",29.26%,"9,166",31.94%,"9,129",31.33%,"9,133",31.33%,"9,031",33.16%,"9,149",34.41%,"8,574",34.08%,"9,568",36.68%,"9,534",38.41%,"8,603",38.75%,"8,814",41.21%,"10,399",39.92%,"10,461",42.66%,"7,861",39.47%,"8,754",47.80%,"8,177",45.33%,"10,732",50.15%,"1,939",38.87%,"1,774",37.35%,"1,947",42.62%,"1,892",42.46%,"2,132",42.73%,"2,491",44.71%,"2,754",43.21%,"2,572",42.77%,"2,452",45.05%,"3,641",48.69%,"3,982",46.99%,"3,474",43.95%,"3,261",45.07%,"3,044",44.01%,"3,078",44.82%,"3,162",40.09%,"3,434",44.03%,"3,304",47.07%,"2,644",44.10%,"1,889",47.31%,"2,385",38.28%,"2,584",43.48%,"2,404",40.86%,"3,187",42.90%,"3,645",36.45%,"3,742",38.55%,"3,698",34.62%,"2,362",30.55%,"4,893",39.80%,"4,443",40.05%,"3,427",36.49%,"4,253",43.54%,"1,629",29.62%,"1,778",32.97%
,Grade B,"4,998",19.42%,"5,088",21.75%,"5,100",21.68%,"5,094",22.07%,"4,999",20.91%,"5,244",21.20%,"5,199",19.93%,"4,589",18.03%,"4,547",19.59%,"4,857",18.42%,"5,091",19.73%,"5,105",19.04%,"4,742",19.67%,"4,453",18.38%,"4,534",17.82%,"4,829",18.79%,"5,393",18.73%,"5,850",19.66%,"5,749",20.11%,"6,032",21.89%,"5,853",22.10%,"5,874",22.71%,"5,618",21.12%,"5,821",21.99%,"5,882",22.14%,"5,844",22.64%,"5,508",22.10%,"5,110",20.65%,"5,221",21.25%,"4,292",19.42%,"3,700",17.70%,"4,043",17.56%,"3,984",16.91%,"4,214",17.50%,"4,536",20.10%,"4,832",21.23%,"4,742",21.17%,"4,985",21.37%,"4,769",20.67%,"4,811",19.97%,"5,510",19.58%,"4,401",17.78%,"4,801",19.94%,"5,024",18.52%,"4,808",18.89%,"4,943",19.17%,"4,550",17.17%,"4,324",17.65%,"4,648",17.57%,"4,681",18.46%,"5,272",18.65%,"5,637",19.64%,"5,848",20.07%,"5,970",20.48%,"5,637",20.70%,"5,618",21.13%,"5,421",21.55%,"5,601",21.47%,"5,638",22.72%,"4,826",21.74%,"4,556",21.30%,"4,295",16.49%,"4,099",16.72%,"2,933",14.73%,"3,088",16.86%,"3,262",18.08%,"3,490",16.31%,"1,042",20.89%,"1,045",22.00%,938,20.53%,974,21.86%,995,19.94%,"1,102",19.78%,"1,354",21.25%,"1,081",17.98%,"1,041",19.13%,"1,368",18.29%,"1,462",17.25%,"1,634",20.67%,"1,545",21.35%,"1,432",20.71%,"1,436",20.91%,"1,529",19.39%,"1,650",21.16%,"1,371",19.53%,"1,142",19.05%,840,21.04%,"1,309",21.01%,"1,284",21.61%,"1,309",22.25%,"1,685",22.68%,"1,593",15.93%,"1,741",17.94%,"1,645",15.40%,853,11.03%,"1,713",13.93%,"1,246",11.23%,953,10.15%,"1,118",11.44%,385,7.00%,358,6.64%
,Grade C,"3,778",14.68%,"3,832",16.38%,"3,784",16.08%,"3,540",15.34%,"3,651",15.27%,"3,702",14.97%,"3,796",14.55%,"3,255",12.79%,"3,269",14.08%,"3,217",12.20%,"3,416",13.24%,"3,427",12.78%,"3,299",13.68%,"3,087",12.74%,"3,330",13.09%,"3,419",13.30%,"3,725",12.94%,"3,769",12.66%,"3,819",13.36%,"3,595",13.05%,"3,684",13.91%,"3,641",14.08%,"3,680",13.83%,"3,627",13.70%,"3,553",13.38%,"3,345",12.96%,"3,076",12.34%,"2,946",11.91%,"2,430",9.89%,"2,098",9.49%,"1,861",8.90%,"2,156",9.36%,"2,048",8.69%,"2,016",8.37%,"3,573",15.83%,"3,543",15.57%,"3,522",15.72%,"3,386",14.52%,"3,353",14.53%,"3,399",14.11%,"3,709",13.18%,"3,407",13.76%,"3,354",13.93%,"3,296",12.15%,"3,401",13.36%,"3,305",12.82%,"3,204",12.09%,"3,022",12.34%,"3,137",11.86%,"3,261",12.86%,"3,631",12.84%,"3,802",13.25%,"3,565",12.23%,"3,730",12.80%,"3,601",13.22%,"3,509",13.20%,"3,420",13.59%,"3,265",12.52%,"3,249",13.09%,"2,692",12.13%,"2,642",12.35%,"1,925",7.39%,"1,903",7.76%,"1,438",7.22%,"1,639",8.95%,"1,702",9.44%,"1,753",8.19%,544,10.91%,587,12.36%,546,11.95%,516,11.58%,560,11.22%,598,10.73%,744,11.67%,575,9.56%,553,10.16%,807,10.79%,789,9.31%,758,9.59%,778,10.75%,753,10.89%,762,11.09%,793,10.05%,903,11.58%,672,9.57%,555,9.26%,382,9.57%,660,10.59%,691,11.63%,667,11.34%,724,9.75%,740,7.40%,734,7.56%,631,5.91%,285,3.69%,650,5.29%,508,4.58%,328,3.49%,449,4.60%,136,2.47%,105,1.95%
,Grade D,"1,296",5.04%,"1,221",5.22%,"1,133",4.82%,"1,186",5.14%,"1,193",4.99%,"1,203",4.86%,"1,179",4.52%,"1,021",4.01%,"1,143",4.92%,"1,106",4.19%,"1,052",4.08%,"1,136",4.24%,"1,053",4.37%,"1,059",4.37%,"1,131",4.44%,"1,121",4.36%,"1,298",4.51%,"1,229",4.13%,"1,280",4.48%,"1,165",4.23%,"1,201",4.53%,"1,252",4.84%,"1,251",4.70%,"1,285",4.85%,"1,083",4.08%,"1,066",4.13%,978,3.92%,968,3.91%,690,2.81%,633,2.86%,637,3.05%,791,3.44%,731,3.10%,706,2.93%,"1,249",5.53%,"1,219",5.36%,"1,056",4.71%,"1,154",4.95%,"1,107",4.80%,"1,062",4.41%,"1,148",4.08%,"1,173",4.74%,"1,022",4.24%,"1,135",4.18%,"1,126",4.42%,978,3.79%,962,3.63%,985,4.02%,"1,047",3.96%,"1,084",4.28%,"1,149",4.06%,"1,138",3.97%,"1,201",4.12%,"1,135",3.89%,"1,103",4.05%,"1,164",4.38%,"1,091",4.34%,"1,033",3.96%,896,3.61%,870,3.92%,777,3.63%,470,1.80%,531,2.17%,431,2.16%,523,2.86%,567,3.14%,596,2.79%,137,2.75%,157,3.31%,156,3.42%,141,3.16%,167,3.35%,177,3.18%,215,3.37%,138,2.30%,141,2.59%,194,2.59%,187,2.21%,237,3.00%,162,2.24%,167,2.41%,227,3.31%,245,3.11%,226,2.90%,207,2.95%,142,2.37%,115,2.88%,201,3.23%,223,3.75%,222,3.77%,225,3.03%,211,2.11%,189,1.95%,188,1.76%,64,0.83%,198,1.61%,129,1.16%,112,1.19%,116,1.19%,30,0.55%,27,0.50%
,Grade F,"1,898",7.38%,"1,589",6.79%,"1,430",6.08%,"1,293",5.60%,"1,498",6.27%,"1,641",6.63%,"1,710",6.55%,"1,541",6.05%,"1,989",8.57%,"1,943",7.37%,"1,812",7.02%,"1,888",7.04%,"1,966",8.15%,"1,849",7.63%,"2,040",8.02%,"2,064",8.03%,"2,402",8.34%,"2,243",7.54%,"1,997",6.99%,"2,037",7.39%,"2,164",8.17%,"1,915",7.40%,"2,001",7.52%,"1,978",7.47%,"2,000",7.53%,"1,871",7.25%,"1,949",7.82%,"1,836",7.42%,"1,583",6.44%,"1,699",7.69%,"2,013",9.63%,"2,222",9.65%,"2,016",8.56%,"1,734",7.20%,"1,403",6.22%,"1,463",6.43%,"1,426",6.37%,"1,364",5.85%,"1,426",6.18%,"1,528",6.34%,"1,676",5.95%,"1,852",7.48%,"1,745",7.25%,"2,041",7.52%,"1,584",6.22%,"1,790",6.94%,"1,933",7.30%,"1,712",6.99%,"1,752",6.62%,"1,921",7.58%,"2,100",7.43%,"1,860",6.48%,"2,029",6.96%,"2,220",7.62%,"1,818",6.67%,"1,751",6.59%,"1,916",7.62%,"1,699",6.51%,"1,695",6.83%,"1,566",7.05%,"1,451",6.78%,982,3.77%,"1,321",5.39%,"1,223",6.14%,"1,630",8.90%,"1,718",9.52%,"1,498",7.00%,109,2.19%,133,2.80%,161,3.52%,188,4.22%,198,3.97%,210,3.77%,224,3.51%,255,4.24%,331,6.08%,245,3.28%,359,4.24%,466,5.90%,317,4.38%,278,4.02%,311,4.53%,317,4.02%,403,5.17%,405,5.77%,214,3.57%,157,3.93%,249,4.00%,260,4.37%,250,4.25%,330,4.44%,383,3.83%,375,3.86%,304,2.85%,128,1.66%,322,2.62%,382,3.44%,404,4.30%,341,3.49%,161,2.93%,117,2.17%
,Military Withdrawal,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,1,0.00%,,0.00%,4,0.01%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,1,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,2,0.01%,,0.00%,,0.00%,,0.00%,,0.00%,2,0.01%,10,0.04%,4,0.02%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,2,0.03%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,Pass,"1,356",5.27%,"1,201",5.13%,"1,092",4.64%,972,4.21%,"1,027",4.30%,780,3.15%,"1,386",5.31%,"2,058",8.08%,590,2.54%,"1,405",5.33%,"1,296",5.02%,"1,878",7.01%,"1,220",5.06%,"2,191",9.04%,"2,240",8.80%,"1,895",7.37%,"2,410",8.37%,"2,418",8.12%,"2,419",8.46%,"1,531",5.56%,"1,421",5.37%,"1,498",5.79%,"2,957",11.12%,"1,714",6.47%,"1,348",5.07%,726,2.81%,541,2.17%,741,2.99%,515,2.10%,656,2.97%,509,2.43%,518,2.25%,635,2.70%,476,1.98%,"1,080",4.79%,"1,021",4.49%,948,4.23%,948,4.06%,813,3.52%,767,3.18%,"2,581",9.17%,892,3.60%,862,3.58%,"1,944",7.16%,698,2.74%,"1,573",6.10%,"3,132",11.82%,"2,660",10.86%,"3,341",12.63%,"1,803",7.11%,"2,242",7.93%,"2,441",8.51%,"2,346",8.05%,"2,517",8.63%,"1,902",6.98%,"1,665",6.26%,"1,012",4.02%,"1,701",6.52%,716,2.88%,651,2.93%,348,1.63%,"2,848",10.93%,"4,127",16.83%,"4,009",20.13%,483,2.64%,423,2.34%,"1,006",4.70%,354,7.10%,361,7.60%,219,4.79%,205,4.60%,242,4.85%,227,4.07%,302,4.74%,730,12.14%,152,2.79%,189,2.53%,475,5.61%,285,3.61%,328,4.53%,419,6.06%,162,2.36%,841,10.66%,242,3.10%,182,2.59%,742,12.37%,235,5.89%,789,12.66%,361,6.07%,504,8.57%,754,10.15%,"2,939",29.39%,"2,318",23.88%,"3,410",31.92%,"3,591",46.45%,"1,955",15.90%,"3,827",34.50%,"3,515",37.43%,"2,802",28.68%,"2,875",52.27%,"2,822",52.33%
,Withdrew,"5,374",20.88%,"3,938",16.83%,"4,639",19.72%,"4,456",19.31%,"4,404",18.42%,"3,959",16.01%,"4,250",16.29%,"5,411",21.26%,"4,555",19.62%,"4,916",18.64%,"4,765",18.47%,"4,478",16.70%,"3,973",16.48%,"4,117",16.99%,"4,615",18.14%,"4,938",19.21%,"4,898",17.01%,"4,731",15.90%,"4,613",16.14%,"4,324",15.69%,"4,064",15.35%,"3,887",15.03%,"3,481",13.08%,"3,752",14.17%,"3,309",12.46%,"3,547",13.74%,"3,067",12.31%,"3,324",13.43%,"2,631",10.71%,"2,590",11.72%,"2,540",12.15%,"2,447",10.63%,"2,483",10.54%,"2,097",8.71%,"4,483",19.86%,"4,381",19.25%,"4,472",19.96%,"4,590",19.68%,"4,271",18.51%,"4,282",17.77%,"4,392",15.60%,"5,599",22.62%,"4,296",17.84%,"4,703",17.33%,"4,381",17.22%,"4,363",16.92%,"4,154",15.68%,"4,017",16.40%,"4,594",17.37%,"4,488",17.70%,"5,017",17.75%,"4,367",15.22%,"4,608",15.81%,"4,261",14.62%,"4,001",14.69%,"3,414",12.84%,"3,631",14.43%,"3,087",11.83%,"3,001",12.09%,"2,852",12.85%,"2,752",12.87%,932,3.58%,"1,968",8.03%,"1,694",8.51%,"1,919",10.48%,"1,987",11.02%,"1,874",8.76%,730,14.64%,595,12.53%,533,11.67%,504,11.31%,607,12.16%,559,10.03%,569,8.93%,492,8.18%,649,11.92%,877,11.73%,814,9.61%,930,11.76%,777,10.74%,779,11.26%,779,11.34%,915,11.60%,880,11.28%,785,11.18%,513,8.56%,272,6.81%,608,9.76%,524,8.82%,460,7.82%,475,6.39%,457,4.57%,565,5.82%,501,4.69%,200,2.59%,518,4.21%,501,4.52%,396,4.22%,560,5.73%,195,3.55%,145,2.69%
,,696,2.70%,610,2.61%,321,1.36%,278,1.20%,272,1.14%,896,3.62%,810,3.10%,844,3.32%,309,1.33%,433,1.64%,720,2.79%,451,1.68%,282,1.17%,377,1.56%,484,1.90%,420,1.63%,361,1.25%,263,0.88%,288,1.01%,110,0.40%,184,0.69%,106,0.41%,162,0.61%,90,0.34%,96,0.36%,65,0.25%,73,0.29%,77,0.31%,83,0.34%,55,0.25%,114,0.55%,151,0.66%,98,0.42%,85,0.35%,515,2.28%,389,1.71%,305,1.36%,264,1.13%,301,1.30%,858,3.56%,776,2.76%,322,1.30%,379,1.57%,595,2.19%,344,1.35%,311,1.21%,638,2.41%,225,0.92%,295,1.12%,732,2.89%,586,2.07%,285,0.99%,413,1.42%,185,0.63%,143,0.53%,320,1.20%,95,0.38%,131,0.50%,91,0.37%,142,0.64%,50,0.23%,224,0.86%,99,0.40%,309,1.55%,256,1.40%,90,0.50%,271,1.27%,133,2.67%,98,2.06%,68,1.49%,36,0.81%,89,1.78%,208,3.73%,211,3.31%,170,2.83%,124,2.28%,157,2.10%,406,4.79%,121,1.53%,66,0.91%,44,0.64%,113,1.65%,85,1.08%,61,0.78%,93,1.32%,44,0.73%,103,2.58%,29,0.47%,16,0.27%,68,1.16%,49,0.66%,31,0.31%,42,0.43%,306,2.86%,248,3.21%,64,0.52%,52,0.47%,253,2.69%,114,1.17%,43,0.78%,41,0.76%
